z,"Psi(0, z)","Psi(1, z)","Psi(2, z)","Psi(3, z)","Psi(4, z)","Psi(5, z)","Psi(6, z)","Psi(7, z)","E(z)"
-2.82,0.0140887,-0.0561869,0.148485,-0.296013,0.46167,-0.558638,0.488089,-0.218524,3.9762
-2.81,0.0144909,-0.0575861,0.15157,-0.300737,0.466292,-0.559707,0.482378,-0.206348,3.94805
-2.8,0.0149032,-0.0590135,0.1547,-0.305488,0.470863,-0.560602,0.476421,-0.194026,3.92
-2.79,0.0153256,-0.0604694,0.157873,-0.310265,0.475378,-0.561319,0.470218,-0.181564,3.89205
-2.78,0.0157584,-0.0619543,0.16109,-0.315067,0.479836,-0.561857,0.46377,-0.168972,3.8642
-2.77,0.0162018,-0.0634685,0.164351,-0.319891,0.484233,-0.56221,0.457078,-0.156256,3.83645
-2.76,0.016656,-0.0650123,0.167656,-0.324737,0.488566,-0.562376,0.450142,-0.143427,3.8088
-2.75,0.0171213,-0.0665862,0.171005,-0.329602,0.492831,-0.562353,0.442963,-0.130491,3.78125
-2.74,0.0175978,-0.0681904,0.174398,-0.334487,0.497025,-0.562135,0.435544,-0.117458,3.7538
-2.73,0.0180857,-0.0698254,0.177835,-0.339388,0.501146,-0.561722,0.427886,-0.104338,3.72645
-2.72,0.0185853,-0.0714915,0.181315,-0.344305,0.505188,-0.561109,0.41999,-0.0911381,3.6992
-2.71,0.0190968,-0.073189,0.184839,-0.349235,0.50915,-0.560294,0.411859,-0.0778694,3.67205
-2.7,0.0196205,-0.0749183,0.188406,-0.354177,0.513027,-0.559275,0.403495,-0.0645411,3.645
-2.69,0.0201564,-0.0766797,0.192016,-0.35913,0.516817,-0.558048,0.394901,-0.0511631,3.61805
-2.68,0.020705,-0.0784737,0.195669,-0.364091,0.520515,-0.556611,0.386079,-0.0377454,3.5912
-2.67,0.0212663,-0.0803004,0.199365,-0.369059,0.524119,-0.554961,0.377033,-0.0242982,3.56445
-2.66,0.0218406,-0.0821603,0.203103,-0.374031,0.527625,-0.553097,0.367765,-0.0108318,3.5378
-2.65,0.0224283,-0.0840537,0.206883,-0.379007,0.531029,-0.551015,0.35828,0.00264308,3.51125
-2.64,0.0230294,-0.0859809,0.210705,-0.383983,0.534329,-0.548714,0.34858,0.0161159,3.4848
-2.63,0.0236443,-0.0879422,0.214569,-0.388958,0.537519,-0.546193,0.33867,0.0295757,3.45845
-2.62,0.0242732,-0.089938,0.218474,-0.39393,0.540598,-0.543448,0.328554,0.0430116,3.4322
-2.61,0.0249163,-0.0919685,0.222419,-0.398896,0.543562,-0.540478,0.318237,0.0564125,3.40605
-2.6,0.0255739,-0.0940341,0.226405,-0.403855,0.546406,-0.537282,0.307722,0.0697673,3.38
-2.59,0.0262462,-0.0961351,0.230431,-0.408804,0.549128,-0.533859,0.297016,0.0830645,3.35405
-2.58,0.0269336,-0.0982717,0.234496,-0.413742,0.551724,-0.530206,0.286123,0.0962928,3.3282
-2.57,0.0276361,-0.100444,0.2386,-0.418665,0.554191,-0.526323,0.275048,0.109441,3.30245
-2.56,0.0283541,-0.102653,0.242742,-0.423571,0.556525,-0.522209,0.263797,0.122497,3.2768
-2.55,0.0290879,-0.104898,0.246922,-0.428459,0.558723,-0.517862,0.252377,0.13545,3.25125
-2.54,0.0298377,-0.10718,0.251139,-0.433325,0.560782,-0.513283,0.240792,0.148287,3.2258
-2.53,0.0306038,-0.109499,0.255392,-0.438168,0.562697,-0.50847,0.22905,0.160998,3.20045
-2.52,0.0313863,-0.111855,0.259682,-0.442984,0.564467,-0.503423,0.217156,0.17357,3.1752
-2.51,0.0321857,-0.114249,0.264006,-0.447772,0.566086,-0.498142,0.205119,0.185992,3.15005
-2.5,0.0330022,-0.11668,0.268365,-0.452528,0.567553,-0.492627,0.192943,0.198253,3.125
-2.49,0.0338359,-0.11915,0.272757,-0.45725,0.568864,-0.486878,0.180638,0.21034,3.10005
-2.48,0.0346873,-0.121657,0.277182,-0.461936,0.570016,-0.480896,0.16821,0.222242,3.0752
-2.47,0.0355565,-0.124203,0.281638,-0.466582,0.571005,-0.47468,0.155666,0.233947,3.05045
-2.46,0.0364439,-0.126787,0.286126,-0.471187,0.571828,-0.468232,0.143015,0.245444,3.0258
-2.45,0.0373496,-0.12941,0.290644,-0.475746,0.572483,-0.461552,0.130265,0.256721,3.00125
-2.44,0.0382741,-0.132072,0.295191,-0.480259,0.572967,-0.454641,0.117424,0.267767,2.9768
-2.43,0.0392175,-0.134772,0.299766,-0.484721,0.573276,-0.447501,0.1045,0.278572,2.95245
-2.42,0.0401801,-0.137512,0.304368,-0.48913,0.573407,-0.440133,0.0915018,0.289122,2.9282
-2.41,0.0411623,-0.140292,0.308997,-0.493483,0.573358,-0.432539,0.0784383,0.299409,2.90405
-2.4,0.0421643,-0.14311,0.31365,-0.497777,0.573126,-0.42472,0.0653184,0.30942,2.88
-2.39,0.0431863,-0.145968,0.318327,-0.502009,0.572709,-0.416678,0.0521512,0.319145,2.85605
-2.38,0.0442287,-0.148866,0.323027,-0.506177,0.572103,-0.408416,0.038946,0.328574,2.8322
-2.37,0.0452917,-0.151803,0.327748,-0.510277,0.571306,-0.399937,0.0257123,0.337697,2.80845
-2.36,0.0463756,-0.154781,0.33249,-0.514307,0.570317,-0.391242,0.0124596,0.346502,2.7848
-2.35,0.0474807,-0.157797,0.33725,-0.518263,0.569131,-0.382334,-0.000802396,0.354981,2.76125
-2.34,0.0486073,-0.160854,0.342028,-0.522142,0.567748,-0.373217,-0.0140637,0.363123,2.7378
-2.33,0.0497556,-0.163951,0.346822,-0.525942,0.566164,-0.363894,-0.0273145,0.370919,2.71445
-2.32,0.050926,-0.167087,0.351631,-0.52966,0.564378,-0.354369,-0.0405446,0.378361,2.6912
-2.31,0.0521186,-0.170263,0.356454,-0.533291,0.562389,-0.344644,-0.0537437,0.385438,2.66805
-2.3,0.0533339,-0.173479,0.361289,-0.536834,0.560193,-0.334724,-0.0669017,0.392143,2.645
-2.29,0.0545721,-0.176734,0.366134,-0.540285,0.557789,-0.324613,-0.0800081,0.398468,2.62205
-2.28,0.0558334,-0.18003,0.370988,-0.543641,0.555176,-0.314315,-0.0930524,0.404403,2.5992
-2.27,0.0571182,-0.183365,0.375849,-0.546899,0.552351,-0.303835,-0.106024,0.409943,2.57645
-2.26,0.0584267,-0.186739,0.380716,-0.550057,0.549315,-0.293177,-0.118913,0.415078,2.5538
-2.25,0.0597592,-0.190153,0.385587,-0.55311,0.546064,-0.282346,-0.131707,0.419803,2.53125
-2.24,0.0611159,-0.193605,0.390461,-0.556056,0.542599,-0.271348,-0.144397,0.424111,2.5088
-2.23,0.0624973,-0.197097,0.395335,-0.558892,0.538917,-0.260188,-0.156972,0.427996,2.48645
-2.22,0.0639034,-0.200628,0.400208,-0.561614,0.535018,-0.24887,-0.169421,0.431451,2.4642
-2.21,0.0653347,-0.204198,0.405078,-0.56422,0.530902,-0.237402,-0.181733,0.434472,2.44205
-2.2,0.0667913,-0.207806,0.409944,-0.566707,0.526567,-0.225788,-0.193898,0.437053,2.42
-2.19,0.0682736,-0.211452,0.414803,-0.569071,0.522013,-0.214036,-0.205904,0.439191,2.39805
-2.18,0.0697818,-0.215136,0.419654,-0.57131,0.517239,-0.20215,-0.217742,0.44088,2.3762
-2.17,0.0713161,-0.218858,0.424494,-0.57342,0.512246,-0.190139,-0.2294,0.442118,2.35445
-2.16,0.072877,-0.222617,0.429322,-0.5754,0.507033,-0.178007,-0.240867,0.442901,2.3328
-2.15,0.0744645,-0.226414,0.434135,-0.577244,0.501601,-0.165763,-0.252134,0.443225,2.31125
-2.14,0.076079,-0.230247,0.438932,-0.578952,0.495948,-0.153413,-0.26319,0.443091,2.2898
-2.13,0.0777208,-0.234116,0.443711,-0.580519,0.490077,-0.140965,-0.274024,0.442494,2.26845
-2.12,0.07939,-0.238022,0.448469,-0.581944,0.483987,-0.128426,-0.284626,0.441434,2.2472
-2.11,0.081087,-0.241963,0.453205,-0.583222,0.477678,-0.115803,-0.294987,0.439911,2.22605
-2.1,0.082812,-0.245939,0.457915,-0.584352,0.471153,-0.103104,-0.305095,0.437924,2.205
-2.09,0.0845652,-0.24995,0.462599,-0.585331,0.464411,-0.0903376,-0.314941,0.435473,2.18405
-2.08,0.0863469,-0.253995,0.467253,-0.586156,0.457454,-0.0775111,-0.324515,0.432559,2.1632
-2.07,0.0881573,-0.258074,0.471876,-0.586824,0.450284,-0.0646329,-0.333807,0.429183,2.14245
-2.06,0.0899967,-0.262186,0.476465,-0.587332,0.442901,-0.0517113,-0.342809,0.425348,2.1218
-2.05,0.0918652,-0.26633,0.481018,-0.587679,0.435307,-0.0387547,-0.351511,0.421055,2.10125
-2.04,0.0937632,-0.270507,0.485533,-0.587861,0.427505,-0.0257718,-0.359903,0.416308,2.0808
-2.03,0.0956909,-0.274714,0.490007,-0.587877,0.419496,-0.0127713,-0.367977,0.411109,2.06045
-2.02,0.0976484,-0.278953,0.494438,-0.587723,0.411282,0.000237927,-0.375725,0.405463,2.0402
-2.01,0.0996359,-0.283222,0.498823,-0.587398,0.402866,0.013247,-0.383137,0.399375,2.02005
-2,0.101654,-0.28752,0.503161,-0.586898,0.39425,0.0262469,-0.390207,0.392848,2
-1.99,0.103702,-0.291847,0.507448,-0.586223,0.385437,0.0392284,-0.396925,0.38589,1.98005
-1.98,0.105781,-0.296202,0.511682,-0.58537,0.376429,0.0521823,-0.403284,0.378506,1.9602
-1.97,0.107891,-0.300585,0.515862,-0.584336,0.367231,0.0650992,-0.409277,0.370702,1.94045
-1.96,0.110032,-0.304994,0.519983,-0.58312,0.357844,0.0779697,-0.414897,0.362487,1.9208
-1.95,0.112204,-0.309428,0.524044,-0.58172,0.348273,0.0907845,-0.420137,0.353866,1.90125
-1.94,0.114408,-0.313887,0.528043,-0.580134,0.338521,0.103534,-0.42499,0.34485,1.8818
-1.93,0.116644,-0.318371,0.531976,-0.57836,0.328592,0.116208,-0.429451,0.335446,1.86245
-1.92,0.118911,-0.322877,0.535841,-0.576396,0.318489,0.128798,-0.433514,0.325664,1.8432
-1.91,0.12121,-0.327406,0.539636,-0.574242,0.308217,0.141294,-0.437173,0.315514,1.82405
-1.9,0.123541,-0.331955,0.543358,-0.571895,0.297781,0.153686,-0.440423,0.305005,1.805
-1.89,0.125904,-0.336525,0.547005,-0.569354,0.287183,0.165964,-0.44326,0.294149,1.78605
-1.88,0.1283,-0.341114,0.550573,-0.566619,0.27643,0.178119,-0.445679,0.282957,1.7672
-1.87,0.130729,-0.345722,0.554061,-0.563687,0.265526,0.190141,-0.447676,0.271441,1.74845
-1.86,0.133189,-0.350347,0.557465,-0.560557,0.254476,0.202021,-0.449247,0.259612,1.7298
-1.85,0.135683,-0.354987,0.560784,-0.557229,0.243284,0.213748,-0.450391,0.247484,1.71125
-1.84,0.13821,-0.359643,0.564014,-0.553701,0.231957,0.225313,-0.451102,0.23507,1.6928
-1.83,0.140769,-0.364313,0.567153,-0.549974,0.2205,0.236706,-0.45138,0.222382,1.67445
-1.82,0.143362,-0.368995,0.570199,-0.546045,0.208918,0.247919,-0.451223,0.209435,1.6562
-1.81,0.145988,-0.373689,0.573148,-0.541916,0.197218,0.25894,-0.450628,0.196244,1.63805
-1.8,0.148647,-0.378393,0.575998,-0.537584,0.185404,0.269762,-0.449595,0.182822,1.62
-1.79,0.151339,-0.383106,0.578747,-0.533051,0.173484,0.280375,-0.448124,0.169186,1.60205
-1.78,0.154065,-0.387827,0.581392,-0.528315,0.161463,0.290769,-0.446213,0.15535,1.5842
-1.77,0.156824,-0.392555,0.583931,-0.523376,0.149348,0.300935,-0.443864,0.14133,1.56645
-1.76,0.159616,-0.397288,0.58636,-0.518236,0.137146,0.310864,-0.441077,0.127143,1.5488
-1.75,0.162442,-0.402024,0.588678,-0.512893,0.124862,0.320548,-0.437853,0.112804,1.53125
-1.74,0.165302,-0.406763,0.590882,-0.507348,0.112504,0.329978,-0.434194,0.0983306,1.5138
-1.73,0.168195,-0.411504,0.59297,-0.501601,0.10008,0.339144,-0.430102,0.0837395,1.49645
-1.72,0.171121,-0.416244,0.594938,-0.495654,0.0875947,0.348039,-0.42558,0.0690478,1.4792
-1.71,0.174081,-0.420982,0.596785,-0.489506,0.0750569,0.356654,-0.42063,0.0542731,1.46205
-1.7,0.177075,-0.425717,0.598508,-0.483159,0.0624735,0.364981,-0.415257,0.0394328,1.445
-1.69,0.180102,-0.430447,0.600105,-0.476613,0.0498519,0.373012,-0.409464,0.0245447,1.42805
-1.68,0.183162,-0.435171,0.601573,-0.46987,0.0371997,0.380739,-0.403256,0.00962692,1.4112
-1.67,0.186256,-0.439888,0.60291,-0.46293,0.0245245,0.388155,-0.396637,-0.00530262,1.39445
-1.66,0.189383,-0.444595,0.604114,-0.455796,0.0118341,0.395252,-0.389613,-0.0202257,1.3778
-1.65,0.192544,-0.449291,0.605182,-0.448468,-0.000863679,0.402023,-0.38219,-0.035124,1.36125
-1.64,0.195737,-0.453975,0.606112,-0.440948,-0.0135609,0.408462,-0.374374,-0.0499791,1.3448
-1.63,0.198964,-0.458645,0.606903,-0.433238,-0.0262496,0.414561,-0.366173,-0.0647728,1.32845
-1.62,0.202223,-0.463299,0.607551,-0.42534,-0.0389216,0.420314,-0.357593,-0.0794864,1.3122
-1.61,0.205516,-0.467936,0.608055,-0.417256,-0.0515688,0.425715,-0.348641,-0.0941018,1.29605
